SPECI,RCMQ,300852Z,350,15KT,0800,R36,1800,FG,BKN002 OVC008 BKN002,17,15,Q1019,<strong>BECMG<,strong>,TL1300,0800,FG
METAR,COR,RCMQ,300,830Z,35015KT,1600,BR,BKN004 BKN008 BKN002,18,15,Q1019,<strong>BECMG<,strong>,FM0900,TL1300,0800,FG
SPECI,RCMQ,300819Z,350,14KT,1600,BR,BKN004 BKN008 BKN004,18,16,Q1019,<strong>BECMG<,strong>,,,,,
SPECI,RCMQ,300807Z,350,14KT,2400,BR,SCT004 BKN008 BKN020,19,16,Q1019,NOSIG,,,,,,
SPECI,RCMQ,300803Z,350,14KT,4000,BR,SCT004 BKN012 BKN040 BKN008,19,16,Q1019,<strong>BECMG<,strong>,2400,BR,,,
METAR,RCMQ,300800Z,350,14KT,5000,BR,SCT006 BKN016 BKN050 BKN012,19,16,Q1019,<strong>BECMG<,strong>,3000,BR,,,
METAR,RCMQ,300730Z,350,12KT,5000,BR,FEW006 SCT016 BKN060,19,16,Q1019,NOSIG,,,,,,
METAR,RCMQ,300700Z,350,11KT,5000,BR,FEW006 BKN060,21,17,Q1019,NOSIG,,,,,,
SPECI,RCMQ,300635Z,360,12KT,5000,BR,SCT004 BKN016 BKN050,20,17,Q1019,NOSIG,,,,,,
METAR,RCMQ,300630Z,360,12KT,6000,SCT004 BKN016 BKN050,20,17,Q1019,<strong>BECMG<,strong>,5000,BR,,,,
METAR,RCMQ,300600Z,350,10KT,7000,3200NW,SCT004 BKN016 BKN060,22,17,Q1019,NOSIG,,,,,,
METAR,RCMQ,300530Z,340,11KT,8000,3600NW,SCT004 BKN016 BKN060,22,17,Q1020,NOSIG,,,,,,
METAR,RCMQ,300500Z,350,07KT,8000,FEW006 SCT020 BKN060,24,18,Q1020,NOSIG,,,,,,,
METAR,RCMQ,300430Z,360,05KT,8000,FEW006 SCT020 BKN060,22,18,Q1021,NOSIG,,,,,,,
METAR,RCMQ,300400Z,340,07KT,8000,FEW006 SCT020 BKN060,22,18,Q1021,NOSIG,,,,,,,
METAR,RCMQ,300330Z,340,08KT,8000,FEW006 SCT020 BKN060,21,18,Q1022,NOSIG,,,,,,,
METAR,RCMQ,300300Z,340,07KT,8000,FEW006 SCT020 BKN060,21,18,Q1022,NOSIG,,,,,,,
METAR,COR,RCMQ,300,230Z,33008KT,8000,FEW006 SCT030 BKN080,20,18,Q1023,NOSIG,,,,,,
METAR,RCMQ,300200Z,330,05KT,8000,FEW006 SCT030 BKN080,20,18,Q1023,NOSIG,,,,,,,
METAR,RCMQ,300130Z,320,05KT,320V040,7000,FEW010 SCT030 BKN080,20,18,Q1023,NOSIG,,,,,,
SPECI,RCMQ,300105Z,040,03KT,6000,FEW010 SCT030 BKN080,18,17,Q1023,NOSIG,,,,,,,
METAR,RCMQ,300100Z,040,03KT,6000,-RA,FEW010 SCT030 BKN080,18,17,Q1023,NOSIG,,,,,,
METAR,RCMQ,300030Z,080,05KT,5000,-RA,BR,FEW010 BKN030 BKN060,18,17,Q1022,NOSIG,,,,,
METAR,RCMQ,300000Z,000,00KT,5000,-RA,BR,FEW010 BKN030 BKN060,17,16,Q1023,NOSIG,,,,,
METAR,RCMQ,292330Z,000,00KT,5000,-RA,BR,FEW010 SCT030 BKN060,17,16,Q1023,NOSIG,,,,,
SPECI,RCMQ,292305Z,110,04KT,5000,-RA,BR,FEW010 SCT030 BKN060,17,16,Q1022,NOSIG,,,,,
METAR,RCMQ,292300Z,090,04KT,6000,-RA,FEW010 SCT030 BKN060,17,16,Q1022,NOSIG,,,,,,
METAR,RCMQ,292230Z,000,00KT,6000,-RA,FEW010 SCT040 BKN060,17,16,Q1022,NOSIG,,,,,,
METAR,RCMQ,292200Z,000,00KT,8000,-RA,FEW010 SCT040 BKN060,17,16,Q1022,NOSIG,,,,,,
METAR,COR,RCMQ,292,130Z,36002KT,8000,-RA,FEW010 SCT040 BKN060,17,15,Q1021,NOSIG,,,,,
METAR,RCMQ,292100Z,310,04KT,8000,-RA,FEW010 SCT040 BKN060,17,15,Q1021,NOSIG,,,,,,
SPECI,RCMQ,292035Z,310,03KT,9000,-RA,FEW010 SCT040 BKN060,17,15,Q1021,,,,,,,
METAR,RCMQ,292030Z,000,00KT,9999,FEW012 SCT040 BKN060,17,14,Q1021,,,,,,,,
METAR,RCMQ,292000Z,300,04KT,9999,FEW012 BKN080,17,14,Q1021,,,,,,,,
METAR,RCMQ,291900Z,300,04KT,9999,FEW012 BKN080,17,14,Q1021,,,,,,,,
METAR,RCMQ,291800Z,000,00KT,9999,FEW012 BKN080,16,14,Q1021,,,,,,,,
METAR,RCMQ,291700Z,000,00KT,9999,FEW012 BKN080,16,14,Q1021,,,,,,,,
METAR,RCMQ,291600Z,360,03KT,9999,FEW012 BKN080,16,14,Q1021,,,,,,,,
METAR,RCMQ,291500Z,340,01KT,9999,FEW012 BKN080,17,14,Q1021,,,,,,,,
METAR,RCMQ,291400Z,000,00KT,9999,FEW012 BKN080,17,14,Q1021,,,,,,,,
METAR,RCMQ,291330Z,350,03KT,9999,FEW012 BKN080,17,14,Q1021,NOSIG,,,,,,,
METAR,RCMQ,291300Z,360,04KT,9999,FEW012 BKN080,17,14,Q1021,NOSIG,,,,,,,
METAR,RCMQ,291230Z,350,04KT,9999,FEW012 BKN080,17,14,Q1020,NOSIG,,,,,,,
METAR,RCMQ,291200Z,350,05KT,9999,FEW012 BKN080,17,14,Q1020,NOSIG,,,,,,,
METAR,RCMQ,291130Z,360,05KT,9999,FEW012 BKN080,17,14,Q1020,NOSIG,,,,,,,
METAR,RCMQ,291100Z,360,07KT,9999,FEW012 BKN080,18,14,Q1020,NOSIG,,,,,,,
METAR,RCMQ,291030Z,360,08KT,9999,FEW012 BKN080,18,14,Q1019,NOSIG,,,,,,,
METAR,RCMQ,291000Z,350,08KT,9999,FEW012 BKN080,18,14,Q1019,NOSIG,,,,,,,
METAR,RCMQ,290930Z,360,11KT,9999,FEW012 BKN100,19,14,Q1019,NOSIG,,,,,,,
METAR,RCMQ,290900Z,360,12KT,9999,FEW012 BKN100,19,14,Q1019,NOSIG,,,,,,,
